athlete_id,athlete,gender,event,mark,value,unit,kind,higher_better
8330969,"Farr, Andrew",M,60,6.69,6.69,s,time,False
8330969,"Farr, Andrew",M,100,10.56 (6.6),10.56,s,time,False
8330969,"Farr, Andrew",M,200,21.87 (0.4),21.87,s,time,False
8330969,"Farr, Andrew",M,300,35.47,35.47,s,time,False
8330969,"Farr, Andrew",M,400,48.03,48.03,s,time,False
8330969,"Farr, Andrew",M,500,1:04.24,64.24,s,time,False
8330969,"Farr, Andrew",M,SP,"6.01m 19' 8.75""",6.01,m,distance,True
9235648,"Miesak, Jozef",M,60,6.92,6.92,s,time,False
9235648,"Miesak, Jozef",M,200,21.39 (1.0),21.39,s,time,False
9235648,"Miesak, Jozef",M,400,47.68,47.68,s,time,False
8916176,"Hom, Connor",M,800,1:49.83,109.83,s,time,False
8916176,"Hom, Connor",M,1000,2:28.77,148.77,s,time,False
8916176,"Hom, Connor",M,MILE,4:20.89,260.89,s,time,False
8916176,"Hom, Connor",M,6K (XC),19:19.5,1159.5,s,time,False
8916176,"Hom, Connor",M,8K (XC),26:02.7,1562.7,s,time,False
7885551,"Karas, Owen",M,800,1:48.30,108.3,s,time,False
7885551,"Karas, Owen",M,1000,2:23.62,143.62,s,time,False
7885551,"Karas, Owen",M,1500,3:37.52,217.52,s,time,False
7885551,"Karas, Owen",M,MILE,3:58.37,238.37,s,time,False
7885551,"Karas, Owen",M,3000,7:51.68,471.68,s,time,False
7885551,"Karas, Owen",M,5000,13:47.74,827.74,s,time,False
7885551,"Karas, Owen",M,6K (XC),17:54.4,1074.4,s,time,False
7885551,"Karas, Owen",M,8K (XC),23:20.4,1400.4,s,time,False
7885551,"Karas, Owen",M,10K (XC),29:27.2,1767.2,s,time,False
8626113,"Stevens, Guy",M,1500,3:49.61,229.61,s,time,False
8626113,"Stevens, Guy",M,MILE,4:13.83,253.83,s,time,False
8626113,"Stevens, Guy",M,3000,8:20.78,500.78,s,time,False
8626113,"Stevens, Guy",M,5000,14:49.38,889.38,s,time,False
8626113,"Stevens, Guy",M,8K (XC),24:37.8,1477.8,s,time,False
8626113,"Stevens, Guy",M,5 MILE (XC),25:56.7,1556.7,s,time,False
8236254,"Mader, Alex",M,1500,4:00.32,240.32,s,time,False
8236254,"Mader, Alex",M,MILE,4:21.88,261.88,s,time,False
8236254,"Mader, Alex",M,3000,8:18.63,498.63,s,time,False
8236254,"Mader, Alex",M,5000,14:22.35,862.35,s,time,False
8236254,"Mader, Alex",M,"10,000",29:56.16,1796.16,s,time,False
8236254,"Mader, Alex",M,8K (XC),25:48.9,1548.9,s,time,False
8236254,"Mader, Alex",M,10K (XC),31:22.5,1882.5,s,time,False
8236254,"Mader, Alex",M,5 MILE (XC),26:04.7,1564.7,s,time,False
9235646,"Martinez, Aiden",M,60H,8.20,8.2,s,time,False
9235646,"Martinez, Aiden",M,110H,14.91 (+0.0),14.91,s,time,False
9235646,"Martinez, Aiden",M,400H,53.11,53.11,s,time,False
8833029,"Seidman, Benny",M,1500,3:59.89,239.89,s,time,False
8833029,"Seidman, Benny",M,3000,8:54.34,534.34,s,time,False
8833029,"Seidman, Benny",M,3000S,9:23.99,563.99,s,time,False
8671493,Lucas Mylon,M,60,6.92,6.92,s,time,False
8671493,Lucas Mylon,M,200,21.65 (2.3),21.65,s,time,False
8671493,Lucas Mylon,M,400,48.84,48.84,s,time,False
9235645,Graham Houghton,M,60,6.82,6.82,s,time,False
