athlete_id,athlete,gender,event,mark,value,wind,unit,kind,higher_better,place,meet,meet_date,date,season,year
8280194,"Archer , Claire",F,6k,20:17.0,1217.0,,s,time,False,11th,NCAA Division I Northeast Region Cross Country Championships,"Nov 14, 2025",2025-11-14,Outdoor,2025
8280194,"Archer , Claire",F,6k,21:01.9,1261.9,,s,time,False,4th,2025 Ivy League Cross Country Championships,"Oct 31, 2025",2025-10-31,Outdoor,2025
8280194,"Archer , Claire",F,6k,20:27.4,1227.4,,s,time,False,17th,Princeton Fall Classic,"Oct 17, 2025",2025-10-17,Outdoor,2025
8280194,"Archer , Claire",F,5k,18:22.4,1102.4,,s,time,False,11th,Iona Br. Paddy Doyle Meet of Champions,"Sep 12, 2025",2025-09-12,Outdoor,2025
8280194,"Archer , Claire",F,6k,20:15.5,1215.5,,s,time,False,12th,NCAA Division I Northeast Region Cross Country Championships,"Nov 15, 2024",2024-11-15,Outdoor,2024
8280194,"Archer , Claire",F,6k,20:17.6,1217.6,,s,time,False,4th,Ivy League Heptagonal Cross Country Championships,"Nov  2, 2024",2024-11-02,Outdoor,2024
8280194,"Archer , Claire",F,6k,20:50.7,1250.7,,s,time,False,2nd,2024 IC4A/ECAC XC Championship,"Oct 18, 2024",2024-10-18,Outdoor,2024
8280194,"Archer , Claire",F,6k,20:22.4,1222.4,,s,time,False,13th,Lehigh Paul Short Run (College),"Oct  5, 2024",2024-10-05,Outdoor,2024
8280194,"Archer , Claire",F,4k,14:26.8,866.8,,s,time,False,2nd,Harvard Yale XC 2024,"Sep  6, 2024",2024-09-06,Outdoor,2024
8280194,"Archer , Claire",F,6k,20:53.1,1253.1,,s,time,False,48th,NCAA Division I Northeast Region Cross Country Championships,"Nov 10, 2023",2023-11-10,Outdoor,2023
8280194,"Archer , Claire",F,6k,22:16.0,1336.0,,s,time,False,39th,Ivy League Heptagonal Cross Country Championships,"Oct 28, 2023",2023-10-28,Outdoor,2023
8280194,"Archer , Claire",F,6k,21:14.5,1274.5,,s,time,False,30th,NCAA Division I Northeast Region Cross Country Championships,"Nov 11, 2022",2022-11-11,Outdoor,2022
8280194,"Archer , Claire",F,6k,21:38.9,1298.9,,s,time,False,16th,Ivy League Heptagonal Cross Country Championships,"Oct 28, 2022",2022-10-28,Outdoor,2022
8280194,"Archer , Claire",F,6k,22:01.1,1321.1,,s,time,False,66th,Weis-Crockett Invitational,"Oct 15, 2022",2022-10-15,Outdoor,2022
8280194,"Archer , Claire",F,6k,21:04.2,1264.2,,s,time,False,129th,Lehigh Paul Short Run (College),"Sep 30, 2022",2022-09-30,Outdoor,2022
8280194,"Archer , Claire",F,5k,18:27.7,1107.7,,s,time,False,46th,Coast-to-Coast Battle in Beantown,"Sep 23, 2022",2022-09-23,Outdoor,2022
8280194,"Archer , Claire",F,5k,18:42.7,1122.7,,s,time,False,20th,HYP,"Sep 10, 2022",2022-09-10,Outdoor,2022
8280195,"Barton, Ruby",F,6k,23:50.7,1430.7,,s,time,False,146th,2024 IC4A/ECAC XC Championship,"Oct 18, 2024",2024-10-18,Outdoor,2024
